time_myr,dt_myr,eroded_bedrock_volume_km3,reworked_sediment_volume_km3,transported_to_deep_reservoir_km3,rift_recycled_volume_km3,surface_sediment_volume_km3,deep_recycled_sediment_volume_km3,cumulative_rift_recycled_volume_km3,mean_sediment_thickness_m,max_sediment_thickness_m,area_fraction_over_1km,step_surface_mass_error_km3,global_continental_ledger_error_km3
260.0,4.0,1612851.181825339,1792631.5010649562,1575547.2463428094,600955.9554079878,92440230.71127763,67156102.76276386,59125034.727163695,263.1676703011302,11697.395189287456,0.0693428227823332,0.0,4.76837158203125e-07
264.0,4.0,1472081.4907016098,1685951.0300849085,850059.6275895877,275963.9262076237,93062252.57438967,68006162.39035344,59400998.65337132,264.9385015001873,11526.267136330333,0.07004743588925953,0.0,4.76837158203125e-07
268.0,4.0,1682236.6403787236,1643770.6329116207,1162696.781268887,244449.2191841632,93581792.43349949,69168859.17162232,59645447.87255548,266.4175771504586,11468.936549826283,0.07160374646779105,-2.9802322387695312e-08,4.76837158203125e-07
272.0,4.0,1710362.971623514,1597732.9949125652,1331755.2394631929,656664.5187671345,93960400.16565982,70500614.41108552,60302112.39132261,267.49543377266707,11066.401267124369,0.07158767070700413,1.4901161193847656e-08,0.0
276.0,4.0,2109115.517736637,1432532.3059560915,1014874.3493263049,274632.33610396675,95054641.33407015,71515488.76041181,60576744.72742658,270.61062395363444,10758.419570940658,0.07157379960148348,-1.4901161193847656e-08,9.5367431640625e-07
280.0,4.0,1833109.9761492074,1322650.4048209214,1325688.784897427,222078.0125502761,95562062.52532192,72841177.54530925,60798822.73997686,272.05519902377074,10574.878122037555,0.07167753616937637,0.0,9.5367431640625e-07
284.0,4.0,1359237.4779665621,1589599.2784775328,1348279.795800258,922461.3310473555,95573020.20748824,74189457.3411095,61721284.07102422,272.08639439904636,10740.52933289496,0.07187866885855451,1.4901161193847656e-08,4.76837158203125e-07
288.0,4.0,1301405.7499052621,1453929.1115455348,508518.00882990425,193914.9666545369,96365907.94856358,74697975.3499394,61915199.037678756,274.34366288511114,10765.959153439653,0.07205039716848731,-1.4901161193847656e-08,9.5367431640625e-07
292.0,4.0,1388513.0455237362,1552739.1782587478,1263222.8018543501,304452.9008512408,96491198.19223297,75961198.15179376,62219651.93853,274.70035110715725,10644.90750553013,0.07222415595766472,1.4901161193847656e-08,4.76837158203125e-07
296.0,4.0,1735912.903698065,1413717.5380683655,772918.3114896076,265406.71571207285,97454192.78444143,76734116.46328337,62485058.65424207,277.4418960102161,10602.01658801507,0.0733221883048467,0.0,4.76837158203125e-07
