time_myr,dt_myr,mean_continental_lithosphere_age_myr,max_continental_lithosphere_age_myr,mean_mantle_depletion_fraction,max_mantle_depletion_fraction,mean_craton_strength,max_craton_strength,cratonic_area_fraction_of_surface,cratonic_fraction_of_continental_material,juvenile_continental_fraction_of_surface,new_continental_material_volume_km3,mean_extension_factor_continental
264.0,4.0,718.0491011774425,764.0,0.3888105906905524,0.41191912701879024,0.5789734963697503,0.61646711835198,0.0,0.0,0.01049366815048133,550237.6072336589,0.6062980224685697
268.0,4.0,721.3640318713566,768.0,0.3898849122908904,0.41328533707190623,0.580259717316151,0.6183771073278717,0.0,0.0,0.010193555459721648,617252.8588564342,0.6054233922250173
272.0,4.0,723.5887938808013,772.0,0.39044623840647324,0.41464548855380623,0.5810489431020971,0.6202774753653459,0.0,0.0,0.010791290217942002,674849.4035578074,0.604886718690574
276.0,4.0,727.321046770375,776.0,0.3917375983479641,0.4159996083317243,0.5829815427932772,0.6221682713202877,0.0,0.0,0.010683790866752745,584204.6633922018,0.6035725509005715
280.0,4.0,730.3022152280771,780.0,0.3926590288088892,0.41734772315374935,0.5845182762350405,0.6240495437995827,0.0,0.0,0.010828223181991345,622055.2206638528,0.6025275721601725
284.0,4.0,733.7146396110345,784.0,0.3937428603202003,0.4186898596493539,0.5861107907922389,0.625921341162385,0.0,0.0,0.010715802017851233,688386.2126045076,0.6014446622612776
288.0,4.0,736.949463645585,788.0,0.39477496332232104,0.42002604432991975,0.5876434809234736,0.6277837115213796,0.0,0.0,0.010750824173561149,570901.2035376246,0.6004024329720379
292.0,4.0,740.5151439818989,792.0,0.39595228210735145,0.4213563035892618,0.5892660424490536,0.6296367027440359,0.0,0.0,0.010588947584808075,642979.1679992282,0.5992990911346436
296.0,4.0,743.7787016523931,796.0,0.3969819984903089,0.4226806637041494,0.5908374464582784,0.631480362453857,0.0,0.0,0.010483717719217835,595694.920438064,0.5982305364083707
300.0,4.0,746.17217593911,800.0,0.3976039595809531,0.4239991508348254,0.5915874230998943,0.6333147380316217,0.0,0.0,0.010864394431936465,657860.0849996086,0.5977205522920718
304.0,4.0,749.209010113779,804.0,0.3984750706956745,0.42531179102552297,0.5929115872581905,0.6351398766166205,0.0,0.0,0.0107307406191921,615258.477968219,0.5968201206644306
308.0,4.0,750.7446173499278,808.0,0.3986360032429172,0.4266186102049799,0.5930518982373774,0.6369558251078855,0.0,0.0,0.011375248613466225,651778.5913656591,0.5967247091985836
312.0,4.0,754.2162982723399,812.0,0.3997375152649712,0.42791963418695084,0.594683027887825,0.638762630165413,0.0,0.0,0.01113608921209531,597710.6223455158,0.5956155410362793
316.0,4.0,756.2004750593471,816.0,0.4001025535215979,0.4292148886707172,0.5953401567971732,0.6405603382113816,0.0,0.0,0.01159207630131969,626459.3914928488,0.5951686933779222
320.0,4.0,759.4850731913308,820.0,0.4011248895926649,0.43050439924159495,0.596832980708158,0.6423489954313629,0.0,0.0,0.011365554614185213,651069.745191212,0.5941535731184526
324.0,4.0,762.1253190212412,824.0,0.4018135952023345,0.4317881913714397,0.5977355301591653,0.6441286477755261,0.0,0.0,0.01143868485050718,546839.8828735941,0.5935398394917675
328.0,4.0,764.8983240280814,828.0,0.40258178737538874,0.4330662904191501,0.5988624469753051,0.6458993409598379,0.0,0.0,0.011596106708765234,504383.83495978615,0.5927735360567924
332.0,4.0,766.9781582044754,832.0,0.40295174657146343,0.4343387216311687,0.6000587515251211,0.6476611204672534,0.0,0.0,0.01164751787164228,496608.9412743042,0.5919600489629175
336.0,4.0,769.9592884564955,836.0,0.40382143284984034,0.4356055101419805,0.6011585160391694,0.6494140315489046,0.0,0.0,0.011621804702748591,533936.5003711691,0.5912122090933646
340.0,4.0,772.5576954837852,840.0,0.4045177711617763,0.4368666809746096,0.6021992977206786,0.6511581192252798,0.05316593509262696,0.1875003010895924,0.011597483322177847,598096.0859084772,0.5905044775499385
344.0,4.0,775.3004709112053,844.0,0.40525776023673926,0.4381222590411135,0.6033028305496986,0.6528934282873988,0.06272782684359406,0.22122222433177485,0.011162079786050261,556364.4513561004,0.5897540752262048
348.0,4.0,778.5088593668348,848.0,0.4062530279709172,0.4393722691430751,0.6046860474117128,0.6546200032979818,0.07288440740109739,0.25704143656334283,0.01013524741543475,509839.74958936404,0.5888134877600351
352.0,4.0,781.6026128112924,852.0,0.4071555145171882,0.44061673597209255,0.6060149545511493,0.6563378885926112,0.08192848211341568,0.28893717447676515,0.009441039998986454,533483.7692669686,0.5879098309052185
356.0,4.0,785.1890214461291,856.0,0.40826092810011977,0.44185568411026716,0.6076392040685025,0.6580471282808902,0.08651281538084042,0.305104742421157,0.008969441023455114,513823.28448610776,0.5868053412334183
360.0,4.0,787.8102765828767,860.0,0.40890789503713304,0.4430891380306889,0.6087014857480936,0.6597477662475919,0.09236447509273278,0.32574179048477336,0.008056070472237456,562005.1787171089,0.5860829896912961
364.0,4.0,790.607939309706,864.0,0.4096410632477029,0.4443171220979197,0.6094839230300662,0.6614398461538059,0.09846757419746753,0.3472655898447151,0.008043217674985153,579663.3262346524,0.5855509323395549
368.0,4.0,793.7692559258802,868.0,0.4105686846444928,0.4455396605684749,0.6104386133549894,0.6631234114380771,0.10133037364737242,0.3573618245461476,0.008167653393693162,571199.809329916,0.5849017429186071
372.0,4.0,796.6853933774297,872.0,0.41140376211757984,0.44675677759130233,0.6116736634700024,0.664798505317539,0.10712107931662017,0.3777839059900934,0.0077057498590507294,526816.2518443863,0.5840619088403983
376.0,4.0,799.3454756843432,876.0,0.41207650792988515,0.4479684972082593,0.612638761958829,0.6664651707890423,0.11067803003525985,0.3903282039422284,0.007691416767864849,448963.2905558448,0.5834056418679961
380.0,4.0,801.6226213889573,880.0,0.4126226399619481,0.44917484335458757,0.6135828941153083,0.6681234506302768,0.11601491606662649,0.40914979968805126,0.007571089310074548,451368.5950895611,0.5827636320015901
384.0,4.0,804.5145555203814,884.0,0.41341316763805347,0.45037583985938595,0.6147740805323182,0.6697733874008868,0.11997787669820412,0.4231259727833319,0.007361851209911804,466449.64786414243,0.5819536252380237
388.0,4.0,806.6052405250779,888.0,0.4138595629822656,0.4515715104460813,0.6153700362545279,0.6714150234435836,0.12402815299431873,0.43741008202911946,0.007128628365526851,438712.6342791666,0.5815483753469213
392.0,4.0,808.1780054405544,892.0,0.4140788813562707,0.4527618787328969,0.6158524014899109,0.6730484008852494,0.1302327517007019,0.45929184002999157,0.00685732866957444,456510.3624970447,0.5812203669868605
396.0,4.0,810.2648888118653,896.0,0.4145361687484169,0.45394696823331915,0.6164075133035588,0.6746735616380373,0.1346088670524496,0.47472508585978734,0.006697512471015912,446595.95347398357,0.5808428909535799
400.0,4.0,813.1493497259802,900.0,0.41532751620312447,0.45512680235656183,0.6175638582975662,0.6762905474004649,0.13759256568087463,0.48524769568910053,0.00629017763096743,411374.0587452939,0.580056576357655
404.0,4.0,814.186825896014,904.0,0.41525281741468556,0.45630140440802874,0.6178217078705865,0.6778993996585032,0.1386452926775502,0.4889603479446833,0.005950742669916649,412578.2127985958,0.579881238648001
408.0,4.0,817.0267200600939,908.0,0.4160257455807267,0.4574707975897739,0.6189893498400189,0.6795001596866593,0.13876934071127733,0.4893978281400921,0.005779988827998692,470607.0910826721,0.5790872421087873
412.0,4.0,820.1317838381281,912.0,0.4169214840490762,0.4586350050009599,0.6202585348678613,0.6810928685490535,0.14148513415892955,0.49897561677946745,0.005596488510508196,477240.79026876553,0.5782241962898543
416.0,4.0,820.8098466734771,916.0,0.4167050811523385,0.45979404963831416,0.6197864191235807,0.6826775671004914,0.14326897266687255,0.5052666799715622,0.005759871506137947,496472.3831810894,0.5785452349959652
420.0,4.0,823.3421060759616,920.0,0.4173056859776425,0.4609479543965833,0.6204871438254579,0.6842542959875308,0.1484662255375128,0.5235958314552334,0.005886849619983312,502287.1452684897,0.5780687421986885
